SOURCE ID	EXTRACT ID	SPECIES	Spec_code	LOCATION	REMARKS	WET MASS	MASS EXTRACTED	THEO. H2O	V MeOH/CHCl3	V 10% BHT	Vadd CHCl3	Vadd H2O	Vtot	EXTRACTED	TARE	GROSS	SUSP VOL	CONC	ORG SENT	MASS NORM'D	FAMEs?	AQ ANALYZED	REMARKS	MDO	COLL DEPTH	MTO	COLL TEMP	#VALUE!		ret time ->	10.45	12.25	12.5	14.9	15.2	15.6	18.45	18.65	19.5	20.1	23.3	23.075	23.7-24.2	vol_run	sum_total_area	vol_ideal	pct_sfa	pct_ufa	pct_mufa	pct_pufa	DBI		
D1137-T	JWL0111	Pleurobrachia bachei					2.00	95	7.1	9.5	2.4	2.4	13.9					#DIV/0!		0.0000	Y							#NUM!																									
D1138.2-BW	JWL0112	Pleurobrachia bachei					2.00	95	7.1	9.5	2.4	2.4	13.9					#DIV/0!		0.0000	Y							#NUM!																									
D1138.2-BW	JWL0113	Pleurobrachia bachei					2.00	95	7.1	9.5	2.4	2.4	13.9					#DIV/0!		0.0000	Y							#NUM!																									
D1137-T	JWL0114	Pleurobrachia bachei					2.00	95	7.1	9.5	2.4	2.4	13.9					#DIV/0!		0.0000	Y							#NUM!																									
D1138-BW	JWL0115	Pleurobrachia bachei					2.00	95	7.1	9.5	2.4	2.4	13.9					#DIV/0!		0.0000	Y							#NUM!																									
D1138.2 pool 4	JWL0116	Pleurobrachia bachei tentacle					1.00	95	3.6	4.8	1.2	1.2	6.9					#DIV/0!		0.0000	N							#NUM!																									
D1138.2 pool 7	JWL0117	Pleurobrachia bachei tentacle					1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	N							#NUM!																									
D1138.2 pool 3	JWL0118	Pleurobrachia bachei tentacle					1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	N							#NUM!																									
D1138.2 pool 6	JWL0119	Pleurobrachia bachei tentacle					1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	N							#NUM!																									
D1138.2 pool 7	JWL0120	Pleurobrachia bachei body					2.00	95	7.1	9.5	2.4	2.4	13.9							0.0000	N							#NUM!																									
D1138.2 pool 5	JWL0121	Pleurobrachia bachei body					2.00	95	7.1	9.5	2.4	2.4	13.9							0.0000	N							#NUM!																									
D1138.2 pool 3	JWL0122	Pleurobrachia bachei body					2.00	95	7.1	9.5	2.4	2.4	13.9							0.0000	N							#NUM!																									
D1138.2 pool 4	JWL0123	Pleurobrachia bachei body					2.00	95	7.1	9.5	2.4	2.4	13.9							0.0000	N							#NUM!																									
D1168-D8	JWL0124	amber lobate			From cellular debris pellet	0.75	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1164-MS4	JWL0125	Lampea deep			From cellular debris pellet	1.00	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1169-D7	JWL0126				From cellular debris pellet	0.50	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1169-D6	JWL0127	Euplokamis			From cellular debris pellet	1.00	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1167-D2	JWL0128				From cellular debris pellet	0.75	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1169-D1	JWL0129				From cellular debris pellet	0.63	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1167-SS8	JWL0130				From cellular debris pellet	1.00	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1168-D5	JWL0131	Lampocteis cruentiventer			From cellular debris pellet	0.43	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0024	Y		pull 20191216		823.6		4.75	-2.915695244																									
D1169-D5	JWL0132	Euplokamis			From cellular debris pellet	1.00	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1169-D10	JWL0133	Ctenoceros			From cellular debris pellet	0.25	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1163-D5	JWL0134				From cellular debris pellet	1.13	1.50	95	5.3	7.1	1.8	1.8	10.4							0.0000	Y							#NUM!																									
D1165-D5	JWL0135				From cellular debris pellet	0.43	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1168-D3	JWL0136	Aulacoctena			From cellular debris pellet	0.75	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1167-SS5	JWL0137	Lampea deep			From cellular debris pellet	1.25	1.50	95	5.3	7.1	1.8	1.8	10.4							0.0000	Y							#NUM!																									
D1167-SS1-1	JWL0138				From cellular debris pellet	1.48	1.50	95	5.3	7.1	1.8	1.8	10.4							0.0000	Y							#NUM!																									
D1167-SS1A	JWL0139				From cellular debris pellet	1.48	1.50	95	5.3	7.1	1.8	1.8	10.4							0.0000	Y							#NUM!																									
D1164-D4	JWL0140				From cellular debris pellet	0.88	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	N							#NUM!																									
D1168-D6	JWL0141	Bathocyroe fosteri			From cellular debris pellet	1.25	1.50	95	5.3	7.1	1.8	1.8	10.4							0.0000	N							#NUM!																									
D1164-D10	JWL0142				From cellular debris pellet	1.43	1.50	95	5.3	7.1	1.8	1.8	10.4							0.0000	N							#NUM!																									
D1164-MS5	JWL0143	Lampea deep			From cellular debris pellet	0.50	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1167-SS1-2	JWL0144	Tjalfiella pink			From cellular debris pellet	1.00	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1167-SS6	JWL0145				From cellular debris pellet	0.63	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	N							#NUM!																									
D1167-D10	JWL0146	Bathocyroe fosteri			From cellular debris pellet	1.00	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1164-D2	JWL0147	Bathocyroe			From cellular debris pellet	1.00	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0000	Y							#NUM!																									
D1168-D12	JWL0148	Lampocteis cruentiventer			From cellular debris pellet	1.25	1.50	95	5.3	7.1	1.8	1.8	10.4							0.0050	Y		pull 20191216		736.0		4.95	-2.866895533																									
D1169-D9	JWL0149	Ctenoceros			From cellular debris pellet, spilled some	0.48	1.00	95	3.6	4.8	1.2	1.2	6.9							0.0050	N							#NUM!																									
Eurhamphaea vexilligera	JWL0150	KMBW6-4					5.50	85	17.5	23.4	5.8	5.8	34.7							0.0050	N							#NUM!																									
Pleurobrachia bachei tentacle pool 2	JWL0151						1.00	85	3.2	4.3	1.1	1.1	6.3							0.0050	N							#NUM!																									
Pleurobrachia bachei tentacle pool 7	JWL0152						1.00	85	3.2	4.3	1.1	1.1	6.3							0.0050	N							#NUM!																									
SEB180701-5	JWL0153	Bolinopsis infundibulum					5.25	85	16.7	22.3	5.6	5.6	33.1							0.0050	N							#NUM!																									
SEB180701-7	JWL0154	Beroe cucumis				8.5	6.50	85	20.7	27.6	6.9	6.9	41.0							0.0050	N							#NUM!																									
SEB180701-9	JWL0155	Bolinopsis infundibulum					4.50	85	14.3	19.1	4.8	4.8	28.4							0.0050	N							#NUM!																									
								85	0.0	0.0	0.0	0.0	0.0															#NUM!																									
								85	0.0	0.0	0.0	0.0	0.0															#NUM!																									
								85	0.0	0.0	0.0	0.0	0.0															#NUM!																									
								85	0.0	0.0	0.0	0.0	0.0															#NUM!																									
								85	0.0	0.0	0.0	0.0	0.0															#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
																												#NUM!																									
